,SKU reference,Material,Color,Name,Diameter,Height,Finish,Shape,Weight
0,007074-217,Synthetic,synthetic-blue,stopper-blue-sintetico-42x22,,,,,
1,007074-457,Synthetic,synthetic-white,stopper-white-sintetico-42x22,,,,,
2,007055-12,Synthetic,,natural-synthetic-cork-stopper-215x13,"21,50 mm","10,00 mm",,,
3,007073-134,Cork,stopper-cork,conical-cork-stopper-carmen-20-x-13-x-10,,,boca-carmen,conical,
4,007073-33,Cork,plastic-golden,stopper-cork-dosif-oro-frasca-250--bolsa--hilo,,,,,
5,007073-24,Plastic,plastic-transparent,stopper-cork-dosif-transparente-frasca-250--bolsa--hilo,,,,,
6,007073-16,Plastic,metal-blue light,stopper-cork-dosif-transparente-frasca-500,,,,,
7,007073-43,Plastic,plastic-transparent,stopper-cork-dosif-transparente-frasca-500--bolsa--hilo,,,,,
8,007073-144,Wood,,cork-stopper-with-wooden-head-moonea-70,,,,,
9,007073-133,Cork,stopper-black,cork-stopper-with-plastic-head-29x12-mm,,,,,
10,007073-159,Metal,,non-refillable-cork-stopper-with-spout,,,,,
11,007073-157,,,cork-stopper-for-terra-bottle,,,,,
12,007074-434,Synthetic,,synthetic-cork-stopper-with-silver-head,,,,,
13,007074-223,Synthetic,synthetic-cork,stopper-natural-sintetico,,,,,
14,007074-236,Synthetic,synthetic-cork,stopper-cork-style-sintetico-42x22,,,,,
15,007073-14,Cork,stopper-wood,stopper-n-10-cabeza-madera-frasca-500,,,,,
16,007073-12,Cork,stopper-cork,stopper-n-11-cork-mini-a8-frasca-125,,,,,
17,007073-1,Cork,stopper-cork,stopper-n-12-cork-cilindrico-colmatado,,,,cylindrical,
18,007073-9,Cork,stopper-wood,stopper-n-13-cork-cabeza-madera,,,,,
19,007073-53,Cork,stopper-wood,stopper-n-19-cork-cabeza-madera-frasca-100,,,,,
20,007073-96,Cork,stopper-wood,stopper-n-21-cork-cabeza-madera-raffaello-500,,,,,
21,007073-6,Cork,stopper-cork,stopper-n-3-cork-conico-frasca-250,,,,,
22,007073-7,Cork,stopper-cork,stopper-n-5-cork-frasca-500,,,,,
23,007073-3,Cork,stopper-cork,no-6-cork-frascas-for-750-and-1000-ml-bottles,,,,,
24,007073-11,Cork,stopper-wood,stopper-n-8-cork-cabeza-mad-3320-frasca-250,,,,,
25,007073-93,Cork,stopper-black,stopper-n-8-cork-cabeza-madera-barniz-black,,,,,
26,007073-13,Cork,stopper-wood,stopper-n-9-cork-cabeza-madera-frasca-1000,,,,,
27,007073-18,Cork,stopper-black,stopper-n2-cork-cabezudo-black,,,,,
28,007074-583,Synthetic,synthetic-cork,stopper-red-sintetico,,,,,
29,007055-19,Synthetic,synthetic-cork,natural-synthetic-cork-stopper-23x10-hf,"23,00 mm","10,00 mm",,,1 grs
30,007055-8,Synthetic,,natural-synthetic-cork-296x135-hf,"29,60 mm","13,50 mm",,,1 grs
31,007055-11,Synthetic,,natural-synthetic-cork-stopper-352x155,"35,20 mm","15,50 mm",,,9 grs
