,SKU reference,Material,Color,Name
0,007075-188,Metal,metal-yellow,crown-26-stopper-yellow
1,007075-184,Metal,metal-blue light,crown-26-stopper-light-blue
2,007075-185,Metal,metal-blue medium,crown-26-stopper-medium-blue
3,007075-186,Metal,metal-blue dark,crown-26-stopper-dark-blue
4,007075-179,Metal,metal-white,crown-26-stopper-white
5,007075-169,Metal,metal-golden,crown-26-stopper-gold
6,007075-187,Metal,metal-cherry,crown-26-stopper-red-ruby
7,007075-190,Metal,metal-orange,crown-26-stopper-orange
8,007075-180,Metal,metal-black,crown-26-stopper-black
9,007075-181,Metal,metal-silverish,crown-26-stopper-silver
10,007075-183,Metal,metal-red,crown-26-stopper-red
11,007075-189,Metal,metal-green,crown-26-stopper-medium-green
12,007075-210,Metal,metal-green,crown-26-stopper-green
13,007075-191,Metal,metal-golden,crown-cap-29-gold
14,007075-199,Metal,metal-black,crown-cap-29-black
