,SKU reference,Material,Color,Name,Weight,Capacity
0,00738-5,Metal,metal-golden,sealing-cap-terrine-le-parfait-familia-wiss-100-mm,,
1,00738-4,Metal,metal-golden,sealing-cap-terrine-le-parfait-familia-wiss-110-mm,,
2,00738-6,Metal,metal-golden,sealing-cap-terrine-le-parfait-familia-wiss-82-mm,,
3,00738-3,Latex,latex-orange,rubber-gasket-genuine-latex-100-mm,,
4,00738-2,Latex,latex-orange,rubber-gasket-genuine-latex-70-mm,,
5,00738-7,Latex,latex-orange,rubber-gasket-genuine-latex-85-mm,,
6,007071-227,Metal,metal-golden,screw-lid-terrine-le-parfait-familia-wiss-100-mm,,
7,007071-341,Metal,metal-golden,screw-cap-terrine-le-parfait-familia-wiss-100-mm-without-capsule,,
8,007071-228,Metal,metal-golden,screw-lid-terrine-le-parfait-familia-wiss-110-mm,,
9,007071-226,Metal,metal-golden,screw-lid-terrine-le-parfait-familia-wiss-82-mm,,
10,007072-232,Plastic,plastic-yellow,yellow-plastic-lid-le-parfait-d100,12 grs,
11,007072-236,Plastic,plastic-yellow,yellow-plastic-lid-le-parfait-d110,12 grs,
12,007072-225,Plastic,plastic-orange,orange-plastic-lid-le-parfait-d100,12 grs,
13,007072-226,Plastic,plastic-orange,orange-plastic-lid-le-parfait-d110,12 grs,
14,007072-231,Plastic,plastic-pink,le-parfait-d100-pink-plastic-lid,12 grs,
15,007072-237,Plastic,plastic-pink,le-parfait-d110-pink-plastic-lid,12 grs,
16,007072-233,Plastic,plastic-green,le-parfait-d100-blue-plastic-lid,12 grs,
17,007072-235,Plastic,plastic-green,le-parfait-d110-blue-plastic-lid,12 grs,
18,36101,Metal,,le-parfait-bistrot-metal-inox-clips-lps-71,16 grs,
19,36270,Metal,,le-parfait-bistrot-metal-inox-clips-lps-86,16 grs,
20,00138-1,Metal,,le-parfait-opener,,5000 ml
