,SKU reference,Capacity,Weight,Material,Diameter,Height,Color,Finish,Shape
0,008082-362,35 ml,46 grs,Glass,"53,00 mm","35,00 mm",glass-white,Weck 40 mm,cylindrical
1,008082-363,50 ml,58 grs,Glass,"67,00 / 49,00 mm","36,00 mm",glass-white,Weck 60 mm,cylindrical
2,008082-377,80 ml,137 grs,Glass,"60,00 mm","55,00 mm",glass-white,Weck 60 mm,cylindrical
3,008082-361,100 ml,101 grs,Glass,"52,00 mm","107,00 mm",glass-white,Weck 40 mm,cylindrical
4,008082-358,140 ml,166 grs,Glass,"60,00 mm","69,00 mm",glass-white,Weck 60 mm,cylindrical
5,008082-359,160 ml,174 grs,Glass,"60,00 mm","80,00 mm",glass-white,Weck 60 mm,cylindrical
6,008082-347,165 ml,27 grs,Glass,"80,00 mm","47,00 mm",glass-white,Weck 80 mm,cylindrical
7,008082-346,200 ml,170 grs,Glass,"60,00 mm","120,00 mm",glass-white,Weck 60 mm,cylindrical
8,008082-364,200 ml,174 grs,Glass,"80,00 / 68,00 mm","55,00 mm",glass-white,Weck 80 mm,cylindrical
9,008082-357,220 ml,120 grs,Glass,"60,00 mm","80,00 mm",glass-white,Weck 60 mm,cylindrical
10,008082-352,220 ml,193 grs,Glass,"60,00 mm","66,00 mm",glass-white,Weck 60 mm,cylindrical
11,002022-942,290 ml,273 grs,Glass,"60,00 mm","140,00 mm",glass-white,Weck 60 mm,cylindrical
12,008082-354,290 ml,280 grs,Glass,"80,00 mm","87,00 mm",glass-white,Weck 80 mm,cylindrical
13,008082-356,290 ml,331 grs,Glass,"108,00 mm","47,00 mm",glass-white,Weck 100 mm,square
14,008082-374,290 ml,338 grs,Glass,"100,00 mm","55,00 mm",glass-white,Weck 100 mm,cylindrical
15,008082-365,300 ml,260 grs,Glass,"125,00 / 112,00 mm","48,00 mm",glass-white,Weck 120 mm,cylindrical
16,008082-348,340 ml,300 grs,Glass,"60,00 mm","130,00 mm",glass-white,Weck 60 mm,cylindrical
17,008082-368,370 ml,210 grs,Glass,"90,00 mm","86,00 mm",glass-white,Weck 80 mm,cylindrical
18,008082-345,370 ml,260 grs,Glass,"80,00 mm","123,00 mm",glass-white,Weck 80 mm,cylindrical
19,008082-373,370 ml,388 grs,Glass,"100,00 mm","69,00 mm",glass-white,Weck 100 mm,cylindrical
20,002022-941,530 ml,398 grs,Glass,"60,00 mm","184,00 mm",glass-white,Weck 60 mm,cylindrical
21,008082-367,545 ml,426 grs,Glass,"108,00 mm","113,00 mm",glass-white,Weck 100 mm,square
22,008082-353,560 ml,380 grs,Glass,"80,00 mm","88,00 mm",glass-white,Weck 80 mm,cylindrical
23,008082-370,580 ml,456 grs,Glass,"100,00 mm","85,00 mm",glass-white,Weck 100 mm,cylindrical
24,008082-372,580 ml,488 grs,Glass,"100,00 mm","107,00 mm",glass-white,Weck 100 mm,cylindrical
25,008082-351,600 ml,370 grs,Glass,"60,00 mm","210,00 mm",glass-white,Weck 60 mm,cylindrical
26,008082-360,700 ml,390 grs,Glass,"88,00 mm","205,00 mm",glass-white,Weck 80 mm,cylindrical
27,008082-355,795 ml,506 grs,Glass,"107,00 mm","162,00 mm",glass-white,Weck 100 mm,square
28,008082-371,850 ml,580 grs,Glass,"100,00 mm","147,00 mm",glass-white,Weck 100 mm,cylindrical
29,008082-350,1040 ml,630 grs,Glass,"80,00 mm","210,00 mm",glass-white,Weck 80 mm,cylindrical
30,002022-940,1062 ml,580 grs,Glass,"60,00 mm","250,00 mm",glass-white,Weck 60 mm,cylindrical
31,008082-366,1062 ml,592 grs,Glass,"145,00 mm","105,00 mm",glass-white,Weck 100 mm,cylindrical
32,008082-369,1062 ml,640 grs,Glass,"100,00 mm","147,00 mm",glass-white,Weck 100 mm,cylindrical
33,008082-349,1590 ml,633 grs,Glass,"100,00 mm","210,00 mm",glass-white,Weck 100 mm,cylindrical
34,008082-376,1750 ml,901 grs,Glass,"120,00 mm","193,00 mm",glass-white,Weck 100 mm,cylindrical
35,008082-375,2700 ml,110 grs,Glass,"100,00 mm","242,00 mm",glass-white,Weck 100 mm,cylindrical
